1274569,AAVAS Financiers,/company/AAVAS/
157,Amara Raja Batt.,/company/AMARAJABAT/
372,Bajaj Finance,/company/BAJFINANCE/consolidated/
582,Caplin Point Lab,/company/CAPLIPOINT/consolidated/
1274375,Fine Organic,/company/FINEORG/consolidated/
1806,KNR Construct.,/company/KNRCON/consolidated/
1818,Kotak Mah. Bank,/company/KOTAKBANK/consolidated/
1989,Manappuram Fin.,/company/MANAPPURAM/consolidated/
2474,P I Industries,/company/PIIND/consolidated/
1270850,PNC Infratech,/company/PNCINFRA/consolidated/
1274653,Polycab India,/company/POLYCAB/consolidated/
1274738,SBI Cards,/company/SBICARD/
1274160,Share India Sec.,/company/SHAREINDIA/consolidated/
1273562,Varun Beverages,/company/VBL/consolidated/
1297,HCL Technologies,/company/HCLTECH/consolidated/
1274395,HDFC AMC,/company/HDFCAMC/
1274911,Aptus Value Hou.,/company/APTUS/consolidated/
1350,Hind. Unilever,/company/HINDUNILVR/consolidated/
1298,HDFC Bank,/company/HDFCBANK/consolidated/
